t_ms,adc
1120681,358
1120691,363
1120701,357
1120711,361
1120721,360
1120731,364
1120741,358
1120751,365
1120761,360
1120771,364
1120781,362
1120791,358
1120801,359
1120811,358
1120821,363
1120831,359
1120841,360
1120851,358
1120861,361
1120871,358
1120881,359
1120891,360
1120901,363
1120911,364
1120921,359
1120931,360
1120941,357
1120951,361
1120961,362
1120971,360
1120981,364
1120991,369
1121001,356
1121011,354
1121021,362
1121031,361
1121041,363
1121051,363
1121061,365
1121071,365
1121081,365
1121091,361
1121101,360
1121111,355
1121121,356
1121131,358
1121141,364
1121151,358
1121161,360
1121171,366
1121181,366
1121191,359
1121201,361
1121211,356
1121221,360
1121231,363
1121241,358
1121251,359
1121261,363
1121271,359
1121281,358
1121291,360
1121301,356
1121311,364
1121321,358
1121331,356
1121341,358
1121351,363
1121361,357
1121371,359
1121381,357
1121391,360
1121401,359
1121411,358
1121421,359
1121431,367
1121441,357
1121451,360
1121461,358
1121471,362
1121481,359
1121491,362
1121501,365
1121511,363
1121521,365
1121531,361
1121541,358
1121551,359
1121561,366
1121571,355
1121581,362
1121591,369
1121601,353
1121611,360
1121621,363
1121631,363
1121641,358
1121651,360
1121661,364
1121671,357
1121681,354
1121691,358
1121701,361
1121711,356
1121721,358
1121731,367
1121741,364
1121751,358
1121761,361
1121771,363
1121781,359
1121791,358
1121801,358
1121811,359
1121821,367
1121831,354
1121841,369
1121851,366
1121861,363
1121871,363
1121881,365
1121891,366
1121901,361
1121911,358
1121921,360
1121931,362
1121941,366
1121951,365
1121961,369
1121971,360
1121981,353
1121991,365
1122001,370
1122011,363
1122021,362
1122031,365
1122041,367
1122051,362
1122061,364
1122071,360
1122081,363
1122091,364
1122101,358
1122111,358
1122121,357
1122131,365
1122141,358
1122151,364
1122161,366
1122171,366
1122181,357
1122191,367
1122201,361
1122211,360
1122221,363
1122231,360
1122241,360
1122251,357
1122261,362
1122271,372
1122281,360
1122291,360
1122301,365
1122311,364
1122321,360
1122331,363
1122341,362
1122351,363
1122361,356
1122371,366
1122381,363
1122391,357
1122401,362
1122411,370
1122421,363
1122431,360
1122441,364
1122451,362
1122461,363
1122471,356
1122481,367
1122491,357
1122501,359
1122511,361
1122521,363
1122531,359
1122541,367
1122551,359
1122561,363
1122571,368
1122581,357
1122591,363
1122601,361
1122611,364
1122621,362
1122631,362
1122641,359
1122651,357
1122661,359
1122671,364
1122681,359
1122691,365
1122701,358
1122711,364
1122721,360
1122731,365
1122741,367
1122751,362
1122761,358
1122771,358
1122781,368
1122791,364
1122801,369
1122811,365
1122821,363
1122831,361
1122841,368
1122851,360
1122861,358
1122871,361
1122881,363
1122891,360
1122901,359
1122911,365
1122921,364
1122931,358
1122941,362
1122951,361
1122961,359
1122971,363
1122981,363
1122991,369
1123001,365
1123011,355
1123021,366
1123031,364
